Color Name,Variant ID,Available,Price,Quantity,SKU,Image Source,Title,Variable Link
Cream 2.0,43584029982772,true,7800,1990,10-11360-050,https://ca.stanley1913.com/cdn/shop/files/Web_PNG_Square-TheQuencherH2.OFlowStateTMTumbler64OZ-Cream2.0-Front.png?crop=center&height=104&v=1715783170&width=104,The Quencher H2.0 FlowState™ Tumbler  | 64 OZ | 1.90 L,https://ca.stanley1913.com/products/the-quencher-h2-0-flowstate-tumbler-64-oz-1-90-l?variant=43584029982772
Rose Quartz 2.0,43583991316532,true,7800,1963,10-11360-049,https://ca.stanley1913.com/cdn/shop/files/Web_PNG_Square-TheQuencherH2.OFlowStateTMTumbler64OZ-RoseQuartz2.0-Front.png?crop=center&height=104&v=1715783170&width=104,The Quencher H2.0 FlowState™ Tumbler  | 64 OZ | 1.90 L,https://ca.stanley1913.com/products/the-quencher-h2-0-flowstate-tumbler-64-oz-1-90-l?variant=43583991316532
Frost,42038944661556,true,7800,2549,10-11360-015,https://ca.stanley1913.com/cdn/shop/files/B2B_Web_PNG-The-Quencher-H2-O-FlowState-Tumbler-64OZ-Frost-Front.png?crop=center&height=104&v=1715783170&width=104,The Quencher H2.0 FlowState™ Tumbler  | 64 OZ | 1.90 L,https://ca.stanley1913.com/products/the-quencher-h2-0-flowstate-tumbler-64-oz-1-90-l?variant=42038944661556
Ash,42038945054772,true,7800,3419,10-11360-016,https://ca.stanley1913.com/cdn/shop/files/B2B_Web_PNG-TheQuencherH2.OFlowStateTumbler64OZ-Ash2.0-Front.png?crop=center&height=104&v=1715783170&width=104,The Quencher H2.0 FlowState™ Tumbler  | 64 OZ | 1.90 L,https://ca.stanley1913.com/products/the-quencher-h2-0-flowstate-tumbler-64-oz-1-90-l?variant=42038945054772
Rose Quartz,41260313641012,false,7800,0,10-11360-002,https://ca.stanley1913.com/cdn/shop/files/B2B_Web_PNG-The-Quencher-H2-O-FlowState-Tumbler-64OZ-Rose-Quartz-Front_48ddc633-ce70-4733-b99a-4eb7d8c4f00c.png?crop=center&height=104&v=1715783170&width=104,The Quencher H2.0 FlowState™ Tumbler  | 64 OZ | 1.90 L,https://ca.stanley1913.com/products/the-quencher-h2-0-flowstate-tumbler-64-oz-1-90-l?variant=41260313641012
Black,41260322029620,false,7800,-50,10-11360-005,https://ca.stanley1913.com/cdn/shop/files/B2B_Web_PNG-The-Quencher-H2-O-FlowState-Tumbler-64OZ-Black-Tonal-Front_cc8add9d-7f29-4bb6-8d6b-49038154a4cc.png?crop=center&height=104&v=1715783170&width=104,The Quencher H2.0 FlowState™ Tumbler  | 64 OZ | 1.90 L,https://ca.stanley1913.com/products/the-quencher-h2-0-flowstate-tumbler-64-oz-1-90-l?variant=41260322029620
Charcoal,41260321603636,false,7800,-50,10-11360-004,https://ca.stanley1913.com/cdn/shop/files/B2B_Web_PNG-The-Quencher-H2-O-FlowState-Tumbler-64OZ-Charcoal-Front_c08584d7-97d9-46e0-9682-00a989e42b15.png?crop=center&height=104&v=1715783170&width=104,The Quencher H2.0 FlowState™ Tumbler  | 64 OZ | 1.90 L,https://ca.stanley1913.com/products/the-quencher-h2-0-flowstate-tumbler-64-oz-1-90-l?variant=41260321603636
Fog,41260321243188,false,7800,-50,10-11360-010,https://ca.stanley1913.com/cdn/shop/files/B2B_Web_PNG-The-Quencher-H2-O-FlowState-Tumbler-64OZ-Fog-Front_fdc988bc-b336-4a06-a01c-eca8ab77e4e7.png?crop=center&height=104&v=1715783170&width=104,The Quencher H2.0 FlowState™ Tumbler  | 64 OZ | 1.90 L,https://ca.stanley1913.com/products/the-quencher-h2-0-flowstate-tumbler-64-oz-1-90-l?variant=41260321243188
Cream,41260320981044,false,7800,-50,10-11360-001,https://ca.stanley1913.com/cdn/shop/files/B2B_Web_PNG-The-Quencher-H2-O-FlowState-Tumbler-64OZ-Cream-Front_f7b43fc2-255a-4d16-be1e-5d1dca8e2686.png?crop=center&height=104&v=1715783170&width=104,The Quencher H2.0 FlowState™ Tumbler  | 64 OZ | 1.90 L,https://ca.stanley1913.com/products/the-quencher-h2-0-flowstate-tumbler-64-oz-1-90-l?variant=41260320981044
